# MC Simulations of 2D Ising Model from Random and Ferromagnetic Initial Condition 
# L = 128
# t_0 = 1000 t_meas = 1000 dt = 1 
# beta energy_density abs_magnetization_density specific_heat susceptibility binder_parameter
0.2 -4.284945e-01 +1.049907e-02 +9.755079e-02 +2.026356e-01 +4.920247e-02
0.21250000000000002 -4.587131e-01 +1.137412e-02 +1.143667e-01 +2.552696e-01 +1.171522e-02
0.225 -4.908739e-01 +1.191753e-02 +1.293783e-01 +3.019152e-01 -4.914417e-03
0.23750000000000002 -5.232128e-01 +1.185469e-02 +1.470960e-01 +3.031715e-01 +3.389074e-02
0.25 -5.573610e-01 +1.304575e-02 +1.730982e-01 +3.794509e-01 +4.114539e-02
0.2625 -5.922992e-01 +1.312974e-02 +2.004764e-01 +4.229684e-01 +3.718944e-02
0.275 -6.278595e-01 +1.462534e-02 +2.178429e-01 +5.182064e-01 +8.736348e-02
0.28750000000000003 -6.649810e-01 +1.634153e-02 +2.462934e-01 +6.899417e-01 +3.453953e-02
0.30000000000000004 -7.045033e-01 +1.634941e-02 +2.838178e-01 +7.880409e-01 +3.075651e-02
0.3125 -7.447309e-01 +1.873230e-02 +3.214928e-01 +9.363745e-01 +7.594984e-02
0.325 -7.876485e-01 +2.004294e-02 +3.682256e-01 +1.149243e+00 +8.292913e-02
0.3375 -8.323498e-01 +2.071877e-02 +4.324790e-01 +1.357194e+00 -7.049175e-03
0.35000000000000003 -8.792178e-01 +2.515627e-02 +4.890139e-01 +2.039588e+00 +6.279417e-02
0.36250000000000004 -9.296036e-01 +2.752070e-02 +5.261915e-01 +2.450270e+00 +5.035566e-02
0.375 -9.837967e-01 +3.534583e-02 +6.293658e-01 +3.847974e+00 +1.384410e-01
0.3875 -1.042388e+00 +4.348530e-02 +6.758891e-01 +6.726250e+00 +1.952187e-03
0.4 -1.107135e+00 +4.710791e-02 +7.646710e-01 +8.269054e+00 +9.588621e-02
0.41250000000000003 -1.180041e+00 +7.448301e-02 +1.045185e+00 +1.839716e+01 +1.586038e-01
0.42500000000000004 -1.262775e+00 +1.475930e-01 +1.392913e+00 +5.069308e+01 +3.729908e-01
0.4375 -1.386793e+00 +5.011133e-01 +2.291354e+00 +9.817082e+01 +6.069085e-01
0.45 -1.513626e+00 +7.521489e-01 +1.600201e+00 +8.311267e+00 +6.640956e-01
0.4625 -1.595292e+00 +8.257346e-01 +1.092588e+00 +1.742086e+00 +6.662204e-01
0.47500000000000003 -1.655440e+00 +8.643447e-01 +8.849177e-01 +9.044850e-01 +6.664598e-01
0.48750000000000004 -1.705777e+00 +8.922752e-01 +8.082843e-01 +5.635303e-01 +6.665489e-01
0.5 -1.745104e+00 +9.110769e-01 +7.853879e-01 +4.379661e-01 +6.665810e-01
0.5125 -1.778849e+00 +9.258159e-01 +6.259647e-01 +2.707496e-01 +6.666166e-01
0.525 -1.806989e+00 +9.374322e-01 +5.719560e-01 +1.950982e-01 +6.666323e-01
0.5375000000000001 -1.830760e+00 +9.464999e-01 +4.936315e-01 +1.563406e-01 +6.666403e-01
0.55 -1.851170e+00 +9.539167e-01 +4.840775e-01 +1.320388e-01 +6.666452e-01
0.5625 -1.868842e+00 +9.602281e-01 +4.253179e-01 +1.018625e-01 +6.666507e-01
0.575 -1.884146e+00 +9.655188e-01 +3.720693e-01 +8.042036e-02 +6.666545e-01
