# MC Simulations of 2D Ising Model from Random and Ferromagnetic Initial Condition 
# L = 32
# t_0 = 1000 t_meas = 1000 dt = 1 
# beta energy_density abs_magnetization_density specific_heat susceptibility binder_parameter
0.95 -1.995661e+00 +9.988836e-01 +3.325886e-02 +2.434648e-03 +6.666633e-01
0.9625000000000001 -1.996309e+00 +9.990547e-01 +2.783493e-02 +1.966147e-03 +6.666640e-01
0.9750000000000001 -1.996366e+00 +9.990715e-01 +2.827705e-02 +1.961406e-03 +6.666640e-01
0.9875 -1.996877e+00 +9.992039e-01 +2.568866e-02 +1.739937e-03 +6.666644e-01
1.0 -1.997030e+00 +9.992461e-01 +2.387175e-02 +1.566422e-03 +6.666646e-01
1.0125 -1.997401e+00 +9.993359e-01 +2.219212e-02 +1.495020e-03 +6.666647e-01
1.0250000000000001 -1.997630e+00 +9.993965e-01 +2.020801e-02 +1.336980e-03 +6.666650e-01
1.0375 -1.997871e+00 +9.994582e-01 +1.913943e-02 +1.227368e-03 +6.666651e-01
1.05 -1.998076e+00 +9.995117e-01 +1.682596e-02 +1.052871e-03 +6.666654e-01
1.0625 -1.998303e+00 +9.995695e-01 +1.551005e-02 +9.638196e-04 +6.666655e-01
1.075 -1.998570e+00 +9.996367e-01 +1.350716e-02 +8.407004e-04 +6.666657e-01
1.0875000000000001 -1.998548e+00 +9.996297e-01 +1.493683e-02 +9.313921e-04 +6.666656e-01
1.1 -1.998783e+00 +9.996910e-01 +1.162556e-02 +6.959767e-04 +6.666658e-01
1.1125 -1.998884e+00 +9.997184e-01 +1.122463e-02 +6.527522e-04 +6.666659e-01
1.125 -1.998883e+00 +9.997180e-01 +1.161614e-02 +6.677430e-04 +6.666659e-01
1.1375 -1.999105e+00 +9.997734e-01 +9.184053e-03 +5.249563e-04 +6.666661e-01
1.1500000000000001 -1.999212e+00 +9.998016e-01 +8.362266e-03 +4.657385e-04 +6.666661e-01
1.1625 -1.999237e+00 +9.998070e-01 +8.472026e-03 +4.751653e-04 +6.666661e-01
1.175 -1.999274e+00 +9.998160e-01 +8.104233e-03 +4.540565e-04 +6.666662e-01
1.1875 -1.999360e+00 +9.998383e-01 +7.274854e-03 +3.968113e-04 +6.666662e-01
1.2 -1.999459e+00 +9.998641e-01 +6.175022e-03 +3.279180e-04 +6.666663e-01
1.2125 -1.999524e+00 +9.998809e-01 +5.526059e-03 +2.864484e-04 +6.666664e-01
1.225 -1.999502e+00 +9.998750e-01 +5.861095e-03 +3.038766e-04 +6.666663e-01
1.2375 -1.999581e+00 +9.998941e-01 +5.410366e-03 +2.845397e-04 +6.666664e-01
1.25 -1.999680e+00 +9.999191e-01 +4.113184e-03 +2.133107e-04 +6.666664e-01
1.2625 -1.999691e+00 +9.999223e-01 +3.977976e-03 +2.003033e-04 +6.666665e-01
1.275 -1.999693e+00 +9.999230e-01 +4.176384e-03 +2.064287e-04 +6.666665e-01
1.2875 -1.999720e+00 +9.999293e-01 +3.756787e-03 +1.875403e-04 +6.666665e-01
