# MC Simulations of 2D Ising Model from Random and Ferromagnetic Initial Condition 
# L = 64
# t_0 = 1000 t_meas = 1000 dt = 1 
# beta energy_density abs_magnetization_density specific_heat susceptibility binder_parameter
0.2 -4.272982e-01 +2.161748e-02 +1.007720e-01 +2.082941e-01 +3.188824e-02
0.21250000000000002 -4.592520e-01 +2.243682e-02 +1.124344e-01 +2.458443e-01 +7.520884e-03
0.225 -4.909455e-01 +2.384014e-02 +1.343221e-01 +3.066504e-01 -4.391108e-02
0.23750000000000002 -5.234629e-01 +2.435830e-02 +1.492249e-01 +3.404934e-01 -7.097683e-02
0.25 -5.580941e-01 +2.545967e-02 +1.694824e-01 +3.866862e-01 -1.589880e-02
0.2625 -5.926104e-01 +2.792695e-02 +2.029480e-01 +4.716242e-01 +2.369330e-02
0.275 -6.280789e-01 +2.884375e-02 +2.104426e-01 +5.487190e-01 +1.878641e-02
0.28750000000000003 -6.652340e-01 +3.138125e-02 +2.493678e-01 +6.584886e-01 +1.603058e-02
0.30000000000000004 -7.049742e-01 +3.218203e-02 +2.870139e-01 +7.800577e-01 -4.335328e-02
0.3125 -7.450865e-01 +3.623437e-02 +3.221628e-01 +9.724879e-01 -1.155132e-03
0.325 -7.880758e-01 +3.998652e-02 +3.543906e-01 +1.224787e+00 -9.068836e-02
0.3375 -8.325242e-01 +4.568506e-02 +4.053875e-01 +1.514872e+00 +7.844085e-02
0.35000000000000003 -8.784936e-01 +4.595469e-02 +4.564289e-01 +1.640760e+00 +9.724890e-02
0.36250000000000004 -9.272836e-01 +5.681396e-02 +5.741643e-01 +2.623067e+00 +5.364361e-02
0.375 -9.811324e-01 +6.391240e-02 +6.291572e-01 +3.470848e+00 +4.366615e-02
0.3875 -1.038375e+00 +7.256357e-02 +6.682235e-01 +4.464898e+00 +1.387510e-01
0.4 -1.107430e+00 +8.218154e-02 +8.774988e-01 +7.467223e+00 -8.583337e-02
0.41250000000000003 -1.174832e+00 +1.428048e-01 +1.117905e+00 +2.004091e+01 +1.131446e-02
0.42500000000000004 -1.255094e+00 +2.556517e-01 +1.430971e+00 +3.506571e+01 +3.759329e-01
0.4375 -1.405277e+00 +6.165278e-01 +1.665767e+00 +9.995808e+00 +6.473921e-01
0.45 -1.505143e+00 +7.183281e-01 +1.767495e+00 +1.867241e+01 +6.453695e-01
0.4625 -1.594951e+00 +8.249019e-01 +1.279123e+00 +2.144675e+00 +6.645174e-01
0.47500000000000003 -1.657662e+00 +8.659707e-01 +9.410148e-01 +1.005024e+00 +6.657688e-01
0.48750000000000004 -1.705817e+00 +8.919992e-01 +8.177972e-01 +5.860112e-01 +6.661820e-01
0.5 -1.745573e+00 +9.111708e-01 +6.736692e-01 +3.514813e-01 +6.663928e-01
0.5125 -1.779896e+00 +9.265306e-01 +5.872377e-01 +2.569877e-01 +6.664778e-01
0.525 -1.807351e+00 +9.375462e-01 +5.625180e-01 +2.012151e-01 +6.665255e-01
0.5375000000000001 -1.830624e+00 +9.464430e-01 +5.164282e-01 +1.602891e-01 +6.665588e-01
0.55 -1.850128e+00 +9.535218e-01 +4.813501e-01 +1.322988e-01 +6.665808e-01
0.5625 -1.868713e+00 +9.602601e-01 +3.989742e-01 +9.788539e-02 +6.666054e-01
0.575 -1.883531e+00 +9.652058e-01 +3.687169e-01 +8.119748e-02 +6.666174e-01
0.5875 -1.896979e+00 +9.696919e-01 +3.436230e-01 +6.910260e-02 +6.666260e-01
0.6000000000000001 -1.909363e+00 +9.737292e-01 +3.205479e-01 +5.941455e-02 +6.666327e-01
0.6125 -1.919339e+00 +9.768930e-01 +2.831731e-01 +4.857576e-02 +6.666396e-01
0.625 -1.927898e+00 +9.795192e-01 +2.477304e-01 +4.090670e-02 +6.666445e-01
0.6375 -1.936017e+00 +9.820065e-01 +2.446268e-01 +3.727674e-02 +6.666470e-01
0.65 -1.943489e+00 +9.842607e-01 +2.206805e-01 +3.234667e-02 +6.666500e-01
0.6625000000000001 -1.949004e+00 +9.858413e-01 +2.085912e-01 +2.899692e-02 +6.666520e-01
0.675 -1.954299e+00 +9.874081e-01 +1.769165e-01 +2.354335e-02 +6.666550e-01
0.6875 -1.959256e+00 +9.888556e-01 +1.748278e-01 +2.225107e-02 +6.666559e-01
0.7 -1.963538e+00 +9.901018e-01 +1.569360e-01 +1.891274e-02 +6.666577e-01
