# MC Simulations of 2D Ising Model from Random and Ferromagnetic Initial Condition 
# L = 128, Beta = 1.00
# t ener_rand mag_rand ener_ferr mag_ferr
22 -1.736328125000e+00 +8.483886718750e-02 -1.996093750000e+00 +9.990234375000e-01
23 -1.737304687500e+00 +8.422851562500e-02 -1.998291015625e+00 +9.995117187500e-01
24 -1.745361328125e+00 +8.740234375000e-02 -1.997070312500e+00 +9.992675781250e-01
25 -1.745361328125e+00 +8.142089843750e-02 -1.996337890625e+00 +9.990234375000e-01
26 -1.744628906250e+00 +8.715820312500e-02 -1.996582031250e+00 +9.991455078125e-01
27 -1.761718750000e+00 +9.423828125000e-02 -1.998046875000e+00 +9.995117187500e-01
28 -1.761474609375e+00 +9.057617187500e-02 -1.997314453125e+00 +9.992675781250e-01
29 -1.763183593750e+00 +9.582519531250e-02 -1.996826171875e+00 +9.991455078125e-01
30 -1.763427734375e+00 +9.680175781250e-02 -1.995605468750e+00 +9.989013671875e-01
31 -1.781982421875e+00 +1.046142578125e-01 -1.995117187500e+00 +9.987792968750e-01
32 -1.783691406250e+00 +9.973144531250e-02 -1.996582031250e+00 +9.991455078125e-01
33 -1.785644531250e+00 +1.049804687500e-01 -1.996337890625e+00 +9.990234375000e-01
34 -1.793212890625e+00 +1.063232421875e-01 -1.996582031250e+00 +9.991455078125e-01
35 -1.794677734375e+00 +1.069335937500e-01 -1.997070312500e+00 +9.992675781250e-01
36 -1.801757812500e+00 +1.066894531250e-01 -1.997558593750e+00 +9.993896484375e-01
37 -1.816406250000e+00 +1.085205078125e-01 -1.996826171875e+00 +9.991455078125e-01
38 -1.820312500000e+00 +1.093750000000e-01 -1.997070312500e+00 +9.992675781250e-01
39 -1.823486328125e+00 +1.092529296875e-01 -1.998535156250e+00 +9.996337890625e-01
40 -1.824462890625e+00 +1.094970703125e-01 -1.998046875000e+00 +9.995117187500e-01
41 -1.822753906250e+00 +1.124267578125e-01 -1.996337890625e+00 +9.990234375000e-01
42 -1.823242187500e+00 +1.086425781250e-01 -1.995605468750e+00 +9.989013671875e-01
43 -1.825195312500e+00 +1.082763671875e-01 -1.998046875000e+00 +9.995117187500e-01
44 -1.825683593750e+00 +1.086425781250e-01 -1.994873046875e+00 +9.986572265625e-01
45 -1.827636718750e+00 +1.131591796875e-01 -1.996582031250e+00 +9.991455078125e-01
46 -1.826171875000e+00 +1.224365234375e-01 -1.996093750000e+00 +9.990234375000e-01
47 -1.828613281250e+00 +1.331787109375e-01 -1.996093750000e+00 +9.990234375000e-01
48 -1.830810546875e+00 +1.430664062500e-01 -1.997558593750e+00 +9.993896484375e-01
49 -1.829833984375e+00 +1.348876953125e-01 -1.998535156250e+00 +9.996337890625e-01
50 -1.830810546875e+00 +1.427001953125e-01 -1.998046875000e+00 +9.995117187500e-01
51 -1.836914062500e+00 +1.484375000000e-01 -1.997558593750e+00 +9.993896484375e-01
52 -1.835693359375e+00 +1.439208984375e-01 -1.997802734375e+00 +9.993896484375e-01
53 -1.836669921875e+00 +1.524658203125e-01 -1.995849609375e+00 +9.989013671875e-01
54 -1.840087890625e+00 +1.534423828125e-01 -1.995117187500e+00 +9.987792968750e-01
55 -1.837890625000e+00 +1.505126953125e-01 -1.995605468750e+00 +9.989013671875e-01
56 -1.839355468750e+00 +1.558837890625e-01 -1.996826171875e+00 +9.991455078125e-01
57 -1.838867187500e+00 +1.564941406250e-01 -1.997558593750e+00 +9.993896484375e-01
58 -1.839111328125e+00 +1.508789062500e-01 -1.998046875000e+00 +9.995117187500e-01
59 -1.841308593750e+00 +1.497802734375e-01 -1.996093750000e+00 +9.990234375000e-01
60 -1.841064453125e+00 +1.486816406250e-01 -1.995605468750e+00 +9.989013671875e-01
61 -1.842041015625e+00 +1.489257812500e-01 -1.997558593750e+00 +9.993896484375e-01
62 -1.841308593750e+00 +1.474609375000e-01 -1.997070312500e+00 +9.992675781250e-01
63 -1.842529296875e+00 +1.463623046875e-01 -1.998046875000e+00 +9.995117187500e-01
64 -1.841796875000e+00 +1.494140625000e-01 -1.998046875000e+00 +9.995117187500e-01
65 -1.840332031250e+00 +1.488037109375e-01 -1.997802734375e+00 +9.993896484375e-01
66 -1.841308593750e+00 +1.512451171875e-01 -1.997558593750e+00 +9.993896484375e-01
67 -1.843017578125e+00 +1.519775390625e-01 -1.998535156250e+00 +9.996337890625e-01
68 -1.843994140625e+00 +1.531982421875e-01 -1.999023437500e+00 +9.997558593750e-01
69 -1.845703125000e+00 +1.567382812500e-01 -1.999023437500e+00 +9.997558593750e-01
70 -1.844482421875e+00 +1.572265625000e-01 -1.997070312500e+00 +9.992675781250e-01
71 -1.844726562500e+00 +1.564941406250e-01 -1.995361328125e+00 +9.987792968750e-01
72 -1.845703125000e+00 +1.568603515625e-01 -1.998046875000e+00 +9.995117187500e-01
73 -1.843505859375e+00 +1.560058593750e-01 -1.996093750000e+00 +9.990234375000e-01
74 -1.843750000000e+00 +1.560058593750e-01 -1.996093750000e+00 +9.990234375000e-01
75 -1.847656250000e+00 +1.567382812500e-01 -1.997070312500e+00 +9.992675781250e-01
76 -1.848144531250e+00 +1.567382812500e-01 -1.995605468750e+00 +9.989013671875e-01
77 -1.846191406250e+00 +1.575927734375e-01 -1.997070312500e+00 +9.992675781250e-01
78 -1.843261718750e+00 +1.595458984375e-01 -1.995117187500e+00 +9.987792968750e-01
79 -1.844726562500e+00 +1.606445312500e-01 -1.993896484375e+00 +9.984130859375e-01
80 -1.840820312500e+00 +1.655273437500e-01 -1.998291015625e+00 +9.995117187500e-01
81 -1.845703125000e+00 +1.599121093750e-01 -1.997070312500e+00 +9.992675781250e-01
82 -1.845214843750e+00 +1.602783203125e-01 -1.995605468750e+00 +9.989013671875e-01
83 -1.844238281250e+00 +1.611328125000e-01 -1.998046875000e+00 +9.995117187500e-01
84 -1.845458984375e+00 +1.602783203125e-01 -1.997070312500e+00 +9.992675781250e-01
85 -1.845214843750e+00 +1.600341796875e-01 -1.996337890625e+00 +9.990234375000e-01
86 -1.844482421875e+00 +1.596679687500e-01 -1.994628906250e+00 +9.986572265625e-01
87 -1.844726562500e+00 +1.567382812500e-01 -1.995849609375e+00 +9.989013671875e-01
88 -1.843750000000e+00 +1.564941406250e-01 -1.996093750000e+00 +9.990234375000e-01
89 -1.843750000000e+00 +1.595458984375e-01 -1.997314453125e+00 +9.992675781250e-01
90 -1.846679687500e+00 +1.594238281250e-01 -1.994628906250e+00 +9.986572265625e-01
91 -1.847167968750e+00 +1.567382812500e-01 -1.996582031250e+00 +9.991455078125e-01
92 -1.849365234375e+00 +1.562500000000e-01 -1.997070312500e+00 +9.992675781250e-01
93 -1.846923828125e+00 +1.557617187500e-01 -1.996582031250e+00 +9.991455078125e-01
94 -1.848144531250e+00 +1.534423828125e-01 -1.995605468750e+00 +9.989013671875e-01
95 -1.855957031250e+00 +1.523437500000e-01 -1.996337890625e+00 +9.990234375000e-01
96 -1.858642578125e+00 +1.540527343750e-01 -1.998046875000e+00 +9.995117187500e-01
97 -1.862060546875e+00 +1.572265625000e-01 -1.996582031250e+00 +9.991455078125e-01
98 -1.868408203125e+00 +1.582031250000e-01 -1.998046875000e+00 +9.995117187500e-01
99 -1.869628906250e+00 +1.593017578125e-01 -1.997802734375e+00 +9.993896484375e-01
100 -1.875000000000e+00 +1.619873046875e-01 -1.998046875000e+00 +9.995117187500e-01
101 -1.876464843750e+00 +1.628417968750e-01 -1.998535156250e+00 +9.996337890625e-01
102 -1.876220703125e+00 +1.634521484375e-01 -1.998535156250e+00 +9.996337890625e-01
103 -1.875488281250e+00 +1.627197265625e-01 -1.999023437500e+00 +9.997558593750e-01
104 -1.875244140625e+00 +1.627197265625e-01 -1.999023437500e+00 +9.997558593750e-01
105 -1.874755859375e+00 +1.628417968750e-01 -1.997558593750e+00 +9.993896484375e-01
106 -1.875488281250e+00 +1.630859375000e-01 -1.995361328125e+00 +9.987792968750e-01
107 -1.875000000000e+00 +1.633300781250e-01 -1.998535156250e+00 +9.996337890625e-01
108 -1.873779296875e+00 +1.621093750000e-01 -1.998046875000e+00 +9.995117187500e-01
109 -1.874511718750e+00 +1.625976562500e-01 -1.997314453125e+00 +9.992675781250e-01
110 -1.875732421875e+00 +1.618652343750e-01 -1.996826171875e+00 +9.991455078125e-01
111 -1.879882812500e+00 +1.619873046875e-01 -1.997070312500e+00 +9.992675781250e-01
112 -1.878662109375e+00 +1.654052734375e-01 -1.997558593750e+00 +9.993896484375e-01
113 -1.877685546875e+00 +1.650390625000e-01 -1.994873046875e+00 +9.986572265625e-01
114 -1.878173828125e+00 +1.622314453125e-01 -1.994628906250e+00 +9.986572265625e-01
115 -1.877197265625e+00 +1.652832031250e-01 -1.995605468750e+00 +9.989013671875e-01
116 -1.875732421875e+00 +1.655273437500e-01 -1.998046875000e+00 +9.995117187500e-01
117 -1.877441406250e+00 +1.658935546875e-01 -1.998046875000e+00 +9.995117187500e-01
118 -1.876953125000e+00 +1.718750000000e-01 -1.997558593750e+00 +9.993896484375e-01
119 -1.878906250000e+00 +1.751708984375e-01 -1.997070312500e+00 +9.992675781250e-01
120 -1.875000000000e+00 +1.821289062500e-01 -1.997070312500e+00 +9.992675781250e-01
121 -1.876220703125e+00 +1.824951171875e-01 -1.997070312500e+00 +9.992675781250e-01
122 -1.877197265625e+00 +1.884765625000e-01 -1.997558593750e+00 +9.993896484375e-01
123 -1.875976562500e+00 +1.888427734375e-01 -1.998046875000e+00 +9.995117187500e-01
124 -1.875488281250e+00 +1.882324218750e-01 -1.999023437500e+00 +9.997558593750e-01
125 -1.875488281250e+00 +1.918945312500e-01 -1.998535156250e+00 +9.996337890625e-01
126 -1.874267578125e+00 +1.916503906250e-01 -1.999023437500e+00 +9.997558593750e-01
127 -1.880126953125e+00 +1.938476562500e-01 -1.997558593750e+00 +9.993896484375e-01
128 -1.877685546875e+00 +1.938476562500e-01 -1.999023437500e+00 +9.997558593750e-01
129 -1.875000000000e+00 +1.964111328125e-01 -1.996582031250e+00 +9.991455078125e-01
130 -1.878906250000e+00 +1.944580078125e-01 -1.994628906250e+00 +9.986572265625e-01
131 -1.880615234375e+00 +1.942138671875e-01 -1.998535156250e+00 +9.996337890625e-01
132 -1.880126953125e+00 +1.940917968750e-01 -1.999023437500e+00 +9.997558593750e-01
133 -1.880371093750e+00 +1.938476562500e-01 -1.997314453125e+00 +9.992675781250e-01
134 -1.875488281250e+00 +1.944580078125e-01 -1.995849609375e+00 +9.989013671875e-01
135 -1.877929687500e+00 +1.962890625000e-01 -1.997558593750e+00 +9.993896484375e-01
136 -1.877441406250e+00 +1.931152343750e-01 -1.997070312500e+00 +9.992675781250e-01
137 -1.879882812500e+00 +1.956787109375e-01 -1.996337890625e+00 +9.990234375000e-01
138 -1.878662109375e+00 +1.953125000000e-01 -1.997070312500e+00 +9.992675781250e-01
139 -1.879150390625e+00 +1.982421875000e-01 -1.997070312500e+00 +9.992675781250e-01
140 -1.879882812500e+00 +1.984863281250e-01 -1.998046875000e+00 +9.995117187500e-01
141 -1.879638671875e+00 +1.982421875000e-01 -1.995849609375e+00 +9.989013671875e-01
142 -1.883056640625e+00 +2.022705078125e-01 -1.996093750000e+00 +9.990234375000e-01
143 -1.884033203125e+00 +2.025146484375e-01 -1.997802734375e+00 +9.993896484375e-01
144 -1.883056640625e+00 +2.025146484375e-01 -1.996337890625e+00 +9.990234375000e-01
145 -1.881103515625e+00 +2.032470703125e-01 -1.995605468750e+00 +9.989013671875e-01
146 -1.885009765625e+00 +2.080078125000e-01 -1.995117187500e+00 +9.987792968750e-01
147 -1.883056640625e+00 +2.067871093750e-01 -1.995117187500e+00 +9.987792968750e-01
148 -1.885498046875e+00 +2.070312500000e-01 -1.996582031250e+00 +9.991455078125e-01
149 -1.885009765625e+00 +2.075195312500e-01 -1.998535156250e+00 +9.996337890625e-01
150 -1.885742187500e+00 +2.054443359375e-01 -1.997070312500e+00 +9.992675781250e-01
151 -1.883300781250e+00 +2.091064453125e-01 -1.994140625000e+00 +9.985351562500e-01
152 -1.885009765625e+00 +2.110595703125e-01 -1.998046875000e+00 +9.995117187500e-01
153 -1.884277343750e+00 +2.111816406250e-01 -1.997314453125e+00 +9.992675781250e-01
154 -1.884521484375e+00 +2.080078125000e-01 -1.996093750000e+00 +9.990234375000e-01
155 -1.882080078125e+00 +2.062988281250e-01 -1.995605468750e+00 +9.989013671875e-01
156 -1.882812500000e+00 +2.077636718750e-01 -1.997070312500e+00 +9.992675781250e-01
157 -1.885498046875e+00 +2.075195312500e-01 -1.997070312500e+00 +9.992675781250e-01
158 -1.885009765625e+00 +2.067871093750e-01 -1.996582031250e+00 +9.991455078125e-01
159 -1.884765625000e+00 +2.069091796875e-01 -1.996093750000e+00 +9.990234375000e-01
160 -1.882324218750e+00 +2.070312500000e-01 -1.997558593750e+00 +9.993896484375e-01
161 -1.880371093750e+00 +2.066650390625e-01 -1.995117187500e+00 +9.987792968750e-01
162 -1.882812500000e+00 +2.070312500000e-01 -1.995605468750e+00 +9.989013671875e-01
163 -1.883056640625e+00 +2.078857421875e-01 -1.996582031250e+00 +9.991455078125e-01
164 -1.885009765625e+00 +2.093505859375e-01 -1.997558593750e+00 +9.993896484375e-01
165 -1.886962890625e+00 +2.095947265625e-01 -1.998046875000e+00 +9.995117187500e-01
166 -1.885742187500e+00 +2.114257812500e-01 -1.995605468750e+00 +9.989013671875e-01
167 -1.886962890625e+00 +2.087402343750e-01 -1.998535156250e+00 +9.996337890625e-01
168 -1.883544921875e+00 +2.121582031250e-01 -1.995117187500e+00 +9.987792968750e-01
169 -1.885253906250e+00 +2.127685546875e-01 -1.995361328125e+00 +9.987792968750e-01
170 -1.885742187500e+00 +2.130126953125e-01 -1.995361328125e+00 +9.987792968750e-01
171 -1.886962890625e+00 +2.094726562500e-01 -1.999511718750e+00 +9.998779296875e-01
172 -1.886230468750e+00 +2.095947265625e-01 -1.999023437500e+00 +9.997558593750e-01
173 -1.886718750000e+00 +2.086181640625e-01 -1.995605468750e+00 +9.989013671875e-01
174 -1.887451171875e+00 +2.121582031250e-01 -1.997070312500e+00 +9.992675781250e-01
175 -1.888916015625e+00 +2.171630859375e-01 -1.997314453125e+00 +9.992675781250e-01
176 -1.889892578125e+00 +2.232666015625e-01 -1.997314453125e+00 +9.992675781250e-01
177 -1.892578125000e+00 +2.243652343750e-01 -1.997558593750e+00 +9.993896484375e-01
178 -1.892333984375e+00 +2.238769531250e-01 -1.997070312500e+00 +9.992675781250e-01
179 -1.888916015625e+00 +2.236328125000e-01 -1.997070312500e+00 +9.992675781250e-01
180 -1.890869140625e+00 +2.238769531250e-01 -1.997314453125e+00 +9.992675781250e-01
181 -1.892822265625e+00 +2.237548828125e-01 -1.997558593750e+00 +9.993896484375e-01
182 -1.894287109375e+00 +2.246093750000e-01 -1.998046875000e+00 +9.995117187500e-01
183 -1.893554687500e+00 +2.288818359375e-01 -1.998535156250e+00 +9.996337890625e-01
184 -1.895019531250e+00 +2.288818359375e-01 -1.996826171875e+00 +9.991455078125e-01
185 -1.894775390625e+00 +2.227783203125e-01 -1.997070312500e+00 +9.992675781250e-01
186 -1.893066406250e+00 +2.233886718750e-01 -1.998779296875e+00 +9.996337890625e-01
187 -1.894042968750e+00 +2.285156250000e-01 -1.997558593750e+00 +9.993896484375e-01
188 -1.895263671875e+00 +2.241210937500e-01 -1.998046875000e+00 +9.995117187500e-01
189 -1.894287109375e+00 +2.242431640625e-01 -1.997070312500e+00 +9.992675781250e-01
190 -1.894531250000e+00 +2.244873046875e-01 -1.997070312500e+00 +9.992675781250e-01
191 -1.890380859375e+00 +2.249755859375e-01 -1.997070312500e+00 +9.992675781250e-01
192 -1.891601562500e+00 +2.242431640625e-01 -1.995849609375e+00 +9.989013671875e-01
193 -1.890136718750e+00 +2.243652343750e-01 -1.997558593750e+00 +9.993896484375e-01
194 -1.893310546875e+00 +2.279052734375e-01 -1.999511718750e+00 +9.998779296875e-01
195 -1.893310546875e+00 +2.290039062500e-01 -1.997558593750e+00 +9.993896484375e-01
196 -1.895507812500e+00 +2.342529296875e-01 -1.999023437500e+00 +9.997558593750e-01
197 -1.896728515625e+00 +2.385253906250e-01 -1.998046875000e+00 +9.995117187500e-01
198 -1.896240234375e+00 +2.338867187500e-01 -1.998535156250e+00 +9.996337890625e-01
199 -1.897949218750e+00 +2.338867187500e-01 -1.998046875000e+00 +9.995117187500e-01
200 -1.897216796875e+00 +2.349853515625e-01 -1.997558593750e+00 +9.993896484375e-01
201 -1.899902343750e+00 +2.347412109375e-01 -1.998535156250e+00 +9.996337890625e-01
202 -1.897460937500e+00 +2.315673828125e-01 -1.998046875000e+00 +9.995117187500e-01
203 -1.897216796875e+00 +2.302246093750e-01 -1.999023437500e+00 +9.997558593750e-01
204 -1.895996093750e+00 +2.313232421875e-01 -1.999511718750e+00 +9.998779296875e-01
205 -1.896240234375e+00 +2.314453125000e-01 -1.998535156250e+00 +9.996337890625e-01
206 -1.898437500000e+00 +2.314453125000e-01 -1.997558593750e+00 +9.993896484375e-01
207 -1.896728515625e+00 +2.316894531250e-01 -1.995117187500e+00 +9.987792968750e-01
208 -1.898925781250e+00 +2.346191406250e-01 -1.998046875000e+00 +9.995117187500e-01
209 -1.900146484375e+00 +2.348632812500e-01 -1.999511718750e+00 +9.998779296875e-01
210 -1.900146484375e+00 +2.349853515625e-01 -1.999511718750e+00 +9.998779296875e-01
211 -1.897705078125e+00 +2.348632812500e-01 -1.998046875000e+00 +9.995117187500e-01
212 -1.901855468750e+00 +2.382812500000e-01 -1.996582031250e+00 +9.991455078125e-01
213 -1.905761718750e+00 +2.431640625000e-01 -1.995849609375e+00 +9.989013671875e-01
214 -1.906494140625e+00 +2.431640625000e-01 -1.998046875000e+00 +9.995117187500e-01
215 -1.904296875000e+00 +2.429199218750e-01 -1.998535156250e+00 +9.996337890625e-01
216 -1.905761718750e+00 +2.449951171875e-01 -1.995117187500e+00 +9.987792968750e-01
217 -1.906005859375e+00 +2.443847656250e-01 -1.998046875000e+00 +9.995117187500e-01
218 -1.906982421875e+00 +2.446289062500e-01 -1.998046875000e+00 +9.995117187500e-01
219 -1.906250000000e+00 +2.442626953125e-01 -1.995849609375e+00 +9.989013671875e-01
220 -1.906494140625e+00 +2.452392578125e-01 -1.998046875000e+00 +9.995117187500e-01
221 -1.906982421875e+00 +2.470703125000e-01 -1.998046875000e+00 +9.995117187500e-01
222 -1.905761718750e+00 +2.474365234375e-01 -1.997314453125e+00 +9.992675781250e-01
